FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;QRESIDUOS_MUN;PERIODO;TASA_URBANIZACION;KG_PER_CAPITA;LOG_POB_TOTAL;LOG_KG_PER_CAPITA;CLUSTER;TIPO_CLUSTER
9012023;27;10206;SELVA;AMAZONAS;BAGUA;LA PECA ;8013;4549;3464;1067.37;2014;0.5677024834643704;133.20479221265444;8.98894529119609;4.89936693338328;0;Intermedio
9012023;28;10301;SELVA;AMAZONAS;BONGARA;JUMBILLA;1744;1539;205;585.99;2014;0.882454128440367;336.0034403669725;7.4645098346365275;5.8200931391043245;0;Intermedio
9012023;29;10302;SELVA;AMAZONAS;BONGARA;CHISQUILLA;341;138;203;43.8;2014;0.4046920821114369;128.4457478005865;5.834810737062605;4.863261857458624;0;Intermedio
9012023;30;10303;SELVA;AMAZONAS;BONGARA;CHURUJA;273;249;24;79.02;2014;0.9120879120879121;289.45054945054943;5.6131281063880705;5.6714333361583895;0;Intermedio
9012023;31;10304;SELVA;AMAZONAS;BONGARA;COROSHA;990;139;851;44.14;2014;0.1404040404040404;44.58585858585859;6.898714534329988;3.8195975496924115;1;Rural / baja generación
9012023;32;10305;SELVA;AMAZONAS;BONGARA;CUISPES;891;415;476;131.66;2014;0.4657687991021324;147.7665544332211;6.79346613258001;5.002378328540801;0;Intermedio
9012023;33;10306;SELVA;AMAZONAS;BONGARA;FLORIDA;8257;4755;3502;1388.52;2014;0.5758750151386702;168.16277098219692;9.018937706446035;5.1308613933060006;0;Intermedio
9012023;34;10307;SELVA;AMAZONAS;BONGARA;JAZAN;9253;7585;1668;1819.31;2014;0.8197341402788285;196.61839403436724;9.132811169466946;5.286337868199879;2;Urbano / alta generación
9012023;35;10308;SELVA;AMAZONAS;BONGARA;RECTA;211;73;138;23.2;2014;0.3459715639810427;109.95260663507109;5.356586274672012;4.709103142884252;0;Intermedio
9012023;36;10309;SELVA;AMAZONAS;BONGARA;SAN CARLOS;327;263;64;83.44;2014;0.8042813455657493;255.16819571865443;5.793013608384144;5.545834243266004;0;Intermedio
9012023;37;10310;SELVA;AMAZONAS;BONGARA;SHIPASBAMBA;1744;1018;726;323.15;2014;0.5837155963302753;185.29243119266056;7.4645098346365275;5.227317649797063;0;Intermedio
9012023;38;10311;SELVA;AMAZONAS;BONGARA;VALERA;1295;437;858;138.77;2014;0.33745173745173745;107.15830115830116;7.16703787691222;4.683595905424826;0;Intermedio
9012023;39;10312;SELVA;AMAZONAS;BONGARA;YAMBRASBAMBA;8070;2983;5087;947.04;2014;0.36964064436183397;117.35315985130111;8.996032669324372;4.773673034811865;1;Rural / baja generación
9012023;40;10401;SELVA;AMAZONAS;CONDORCANQUI;NIEVA ;28116;4147;23969;1275.7;2014;0.1474960876369327;45.37274149950206;10.244129654600282;3.8367118189223133;1;Rural / baja generación
9012023;41;10402;SELVA;AMAZONAS;CONDORCANQUI;EL CENEPA ;9513;1216;8297;385.95;2014;0.12782508146746557;40.57079785556607;9.160519676992227;3.72739794614185;1;Rural / baja generación
9012023;42;10403;SELVA;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;16282;2709;13573;859.79;2014;0.16638005159071367;52.80616631863408;9.697876897764221;3.985388076187868;1;Rural / baja generación
9012023;43;10501;SIERRA;AMAZONAS;LUYA;LAMUD;2330;2020;310;695.01;2014;0.8669527896995708;298.2875536480687;7.754052639035757;5.701404829122842;0;Intermedio
9012023;44;10502;SELVA;AMAZONAS;LUYA;CAMPORREDONDO;7006;4431;2575;1406.66;2014;0.6324578932343705;200.77933200114188;8.854664928370534;5.307174684444185;0;Intermedio
9012023;45;10503;SELVA;AMAZONAS;LUYA;COCABAMBA;2492;359;2133;114.07;2014;0.1440609951845907;45.774478330658106;7.821242083523558;3.8453377193594918;1;Rural / baja generación
9012023;46;10504;SIERRA;AMAZONAS;LUYA;COLCAMAR;2326;1354;972;317.17;2014;0.5821152192605331;136.3585554600172;7.752335163302292;4.922594700080931;0;Intermedio
9012023;47;10505;SELVA;AMAZONAS;LUYA;CONILA;2102;1233;869;391.56;2014;0.5865842055185537;186.27973358705995;7.6511201757027;5.2326034006435185;0;Intermedio
9012023;48;10506;SIERRA;AMAZONAS;LUYA;INGUILPATA;622;367;255;86.09;2014;0.590032154340836;138.40836012861737;6.434546518787453;4.9374074687564065;0;Intermedio
9012023;49;10507;SELVA;AMAZONAS;LUYA;LONGUITA;1132;237;895;75.21;2014;0.20936395759717313;66.43992932862191;7.0326242610280065;4.211237265778192;1;Rural / baja generación
9012023;50;10508;SIERRA;AMAZONAS;LUYA;LONYA CHICO;997;327;670;76.67;2014;0.3279839518555667;76.90070210631896;6.905753276311464;4.355434965754173;0;Intermedio
9012023;51;10509;SIERRA;AMAZONAS;LUYA;LUYA;4422;2319;2103;689.26;2014;0.5244233378561737;155.87064676616916;8.394573477868327;5.055421559803292;0;Intermedio
9012023;52;10510;SIERRA;AMAZONAS;LUYA;LUYA VIEJO;479;479;0;112.22;2014;1.0;234.27974947807934;6.173786103901937;5.460775229463123;0;Intermedio
9012023;53;10511;SELVA;AMAZONAS;LUYA;MARIA;938;502;436;159.5;2014;0.535181236673774;170.04264392324095;6.844815479208263;5.141912905080795;0;Intermedio
9012023;54;10512;SELVA;AMAZONAS;LUYA;OCALLI;4180;1589;2591;504.46;2014;0.38014354066985645;120.6842105263158;8.338305731356565;4.801429250625827;0;Intermedio
9012023;55;10513;SELVA;AMAZONAS;LUYA;OCUMAL;4163;691;3472;219.5;2014;0.16598606773961086;52.72639923132356;8.33423142973486;3.9839044865137367;1;Rural / baja generación
9012023;56;10514;SIERRA;AMAZONAS;LUYA;PISUQUIA;6065;274;5791;64.09;2014;0.04517724649629019;10.567188788128608;8.710454688248527;2.448172537449946;1;Rural / baja generación
9012023;57;10515;SIERRA;AMAZONAS;LUYA;PROVIDENCIA;1539;282;1257;65.98;2014;0.18323586744639375;42.87199480181936;7.3395376954076745;3.7812761848947436;1;Rural / baja generación
9012023;58;10516;SIERRA;AMAZONAS;LUYA;SAN CRISTOBAL;700;493;207;115.51;2014;0.7042857142857143;165.0142857142857;6.55250788703459;5.112073843173515;0;Intermedio
