FECHA_CORTE;N_SEC;UBIGEO;REG_NAT;DEPARTAMENTO;PROVINCIA;DISTRITO;POB_TOTAL;POB_URBANA;POB_RURAL;QRESIDUOS_MUN;PERIODO;TASA_URBANIZACION;KG_PER_CAPITA
9012023;38;10311;SELVA;AMAZONAS;BONGARA;VALERA;1295;437;858;138.77;2014;0.33745173745173745;107.15830115830116
9012023;39;10312;SELVA;AMAZONAS;BONGARA;YAMBRASBAMBA;8070;2983;5087;947.04;2014;0.36964064436183397;117.35315985130111
9012023;40;10401;SELVA;AMAZONAS;CONDORCANQUI;NIEVA ;28116;4147;23969;1275.7;2014;0.1474960876369327;45.37274149950206
9012023;41;10402;SELVA;AMAZONAS;CONDORCANQUI;EL CENEPA ;9513;1216;8297;385.95;2014;0.12782508146746557;40.57079785556607
9012023;42;10403;SELVA;AMAZONAS;CONDORCANQUI;RIO SANTIAGO;16282;2709;13573;859.79;2014;0.16638005159071367;52.80616631863408
9012023;43;10501;SIERRA;AMAZONAS;LUYA;LAMUD;2330;2020;310;695.01;2014;0.8669527896995708;298.2875536480687
9012023;44;10502;SELVA;AMAZONAS;LUYA;CAMPORREDONDO;7006;4431;2575;1406.66;2014;0.6324578932343705;200.77933200114188
9012023;45;10503;SELVA;AMAZONAS;LUYA;COCABAMBA;2492;359;2133;114.07;2014;0.1440609951845907;45.774478330658106
9012023;46;10504;SIERRA;AMAZONAS;LUYA;COLCAMAR;2326;1354;972;317.17;2014;0.5821152192605331;136.3585554600172
9012023;47;10505;SELVA;AMAZONAS;LUYA;CONILA;2102;1233;869;391.56;2014;0.5865842055185537;186.27973358705995
9012023;48;10506;SIERRA;AMAZONAS;LUYA;INGUILPATA;622;367;255;86.09;2014;0.590032154340836;138.40836012861737
9012023;49;10507;SELVA;AMAZONAS;LUYA;LONGUITA;1132;237;895;75.21;2014;0.20936395759717313;66.43992932862191
9012023;50;10508;SIERRA;AMAZONAS;LUYA;LONYA CHICO;997;327;670;76.67;2014;0.3279839518555667;76.90070210631896
9012023;51;10509;SIERRA;AMAZONAS;LUYA;LUYA;4422;2319;2103;689.26;2014;0.5244233378561737;155.87064676616916
9012023;52;10510;SIERRA;AMAZONAS;LUYA;LUYA VIEJO;479;479;0;112.22;2014;1.0;234.27974947807934
9012023;53;10511;SELVA;AMAZONAS;LUYA;MARIA;938;502;436;159.5;2014;0.535181236673774;170.04264392324095
9012023;54;10512;SELVA;AMAZONAS;LUYA;OCALLI;4180;1589;2591;504.46;2014;0.38014354066985645;120.6842105263158
9012023;55;10513;SELVA;AMAZONAS;LUYA;OCUMAL;4163;691;3472;219.5;2014;0.16598606773961086;52.72639923132356
9012023;56;10514;SIERRA;AMAZONAS;LUYA;PISUQUIA;6065;274;5791;64.09;2014;0.04517724649629019;10.567188788128608
9012023;57;10515;SIERRA;AMAZONAS;LUYA;PROVIDENCIA;1539;282;1257;65.98;2014;0.18323586744639375;42.87199480181936
9012023;58;10516;SIERRA;AMAZONAS;LUYA;SAN CRISTOBAL;700;493;207;115.51;2014;0.7042857142857143;165.0142857142857
9012023;59;10517;SIERRA;AMAZONAS;LUYA;SAN FRANCISCO DEL YESO;826;386;440;90.53;2014;0.46731234866828086;109.60048426150121
9012023;60;10518;SIERRA;AMAZONAS;LUYA;SAN JERONIMO;909;350;559;82.08;2014;0.385038503850385;90.29702970297029
9012023;61;10519;SELVA;AMAZONAS;LUYA;SAN JUAN DE LOPECANCHA;524;78;446;24.67;2014;0.14885496183206107;47.08015267175573
9012023;62;10520;SIERRA;AMAZONAS;LUYA;SANTA CATALINA;1888;470;1418;110.19;2014;0.2489406779661017;58.36334745762712
9012023;63;10521;SELVA;AMAZONAS;LUYA;SANTO TOMAS;3619;1091;2528;346.21;2014;0.30146449295385463;95.6645482177397
9012023;64;10522;SIERRA;AMAZONAS;LUYA;TINGO;1352;703;649;164.64;2014;0.5199704142011834;121.77514792899409
9012023;65;10523;SIERRA;AMAZONAS;LUYA;TRITA;1378;824;554;192.95;2014;0.5979680696661829;140.02177068214803
9012023;66;10601;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;SAN NICOLAS;5255;3646;1609;1157.4;2014;0.6938154138915319;220.24738344433874
9012023;67;10602;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;CHIRIMOTO;2048;117;1931;37.06;2014;0.05712890625;18.095703125
9012023;68;10603;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;COCHAMAL;519;412;107;130.9;2014;0.7938342967244701;252.21579961464354
9012023;69;10604;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;HUAMBO;2711;582;2129;184.72;2014;0.2146809295462929;68.13721873847288
9012023;70;10605;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;LIMABAMBA;2999;648;2351;205.68;2014;0.21607202400800266;68.58286095365122
9012023;71;10606;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;LONGAR;1667;913;754;289.88;2014;0.5476904619076185;173.89322135572885
9012023;72;10607;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;MARISCAL BENAVIDES;1417;879;538;279.03;2014;0.6203246294989414;196.91601976005646
9012023;73;10608;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;MILPUC;622;358;264;113.58;2014;0.5755627009646302;182.60450160771705
9012023;74;10609;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;OMIA;9364;802;8562;254.56;2014;0.0856471593336181;27.184963690730456
9012023;75;10610;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;SANTA ROSA;480;135;345;42.89;2014;0.28125;89.35416666666667
9012023;76;10611;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;TOTORA;462;125;337;39.81;2014;0.27056277056277056;86.16883116883118
9012023;77;10612;SELVA;AMAZONAS;RODRIGUEZ DE MENDOZA;VISTA ALEGRE;3342;709;2633;225.18;2014;0.21214841412327948;67.37881508078995
9012023;78;10701;SIERRA;AMAZONAS;UTCUBAMBA;BAGUA GRANDE;53335;33246;20089;9757.92;2014;0.6233430205306084;182.95528264741728
9012023;79;10702;SELVA;AMAZONAS;UTCUBAMBA;CAJARURO ;28523;8730;19793;2771.32;2014;0.3060687865932756;97.1608877046594
9012023;80;10703;SIERRA;AMAZONAS;UTCUBAMBA;CUMBA;8955;2719;6236;793.97;2014;0.3036292573981016;88.66219988833055
9012023;81;10704;SIERRA;AMAZONAS;UTCUBAMBA;EL MILAGRO;6376;1696;4680;397.25;2014;0.2659974905897114;62.30395232120452
9012023;82;10705;SIERRA;AMAZONAS;UTCUBAMBA;JAMALCA;8216;1506;6710;352.9;2014;0.18330087633885103;42.952775073028235
9012023;83;10706;SELVA;AMAZONAS;UTCUBAMBA;LONYA GRANDE;10374;3409;6965;1082.13;2014;0.32860998650472334;104.31174089068826
9012023;84;10707;SIERRA;AMAZONAS;UTCUBAMBA;YAMON;2935;559;2376;131.06;2014;0.19045996592844974;44.654173764906304
9012023;85;20101;SIERRA;ANCASH;HUARAZ;HUARAZ;63327;56780;6547;16283.61;2014;0.8966159773872124;257.1353451134587
9012023;86;20102;SIERRA;ANCASH;HUARAZ;COCHABAMBA;2006;461;1545;107.9;2014;0.22981056829511465;53.78863409770688
9012023;87;20103;SIERRA;ANCASH;HUARAZ;COLCABAMBA;783;430;353;100.85;2014;0.5491698595146871;128.79948914431674
9012023;88;20104;SIERRA;ANCASH;HUARAZ;HUANCHAY;2324;367;1957;86.09;2014;0.1579173838209983;37.04388984509466
9012023;89;20105;SIERRA;ANCASH;HUARAZ;INDEPENDENCIA;72423;58251;14172;15337.75;2014;0.8043163083550806;211.78009748284384
9012023;90;20106;SIERRA;ANCASH;HUARAZ;JANGAS;4932;1976;2956;462.91;2014;0.4006488240064882;93.85847526358475
9012023;91;20107;SIERRA;ANCASH;HUARAZ;LA LIBERTAD;1183;314;869;73.62;2014;0.2654268808114962;62.23161453930685
9012023;92;20108;SIERRA;ANCASH;HUARAZ;OLLEROS;2285;1232;1053;244.18;2014;0.5391684901531729;106.86214442013129
9012023;93;20109;SIERRA;ANCASH;HUARAZ;PAMPAS;1211;381;830;89.23;2014;0.314616019818332;73.68290668868704
9012023;94;20110;SIERRA;ANCASH;HUARAZ;PARIACOTO;4697;1371;3326;321.13;2014;0.29188843942942305;68.36917181179476
9012023;95;20111;SIERRA;ANCASH;HUARAZ;PIRA;3792;502;3290;117.59;2014;0.13238396624472573;31.010021097046412
9012023;96;20112;SIERRA;ANCASH;HUARAZ;TARICA;5805;1636;4169;324.13;2014;0.2818260120585702;55.83634797588286
9012023;97;20201;SIERRA;ANCASH;AIJA;AIJA;1903;994;909;232.98;2014;0.5223331581713084;122.42774566473989
9012023;98;20202;SIERRA;ANCASH;AIJA;CORIS;2234;477;1757;111.78;2014;0.2135183527305282;50.03581020590868
9012023;99;20203;SIERRA;ANCASH;AIJA;HUACLLAN;611;365;246;85.47;2014;0.5973813420621932;139.88543371522096
9012023;100;20204;SIERRA;ANCASH;AIJA;LA MERCED;2251;291;1960;68.11;2014;0.12927587738782764;30.25766326077299
9012023;101;20205;SIERRA;ANCASH;AIJA;SUCCHA;853;351;502;82.14;2014;0.4114888628370457;96.29542790152404
9012023;102;20301;SIERRA;ANCASH;ANTONIO RAYMONDI;LLAMELLIN;3643;1710;1933;400.68;2014;0.4693933571232501;109.98627504803733
9012023;103;20302;SIERRA;ANCASH;ANTONIO RAYMONDI;ACZO;2212;432;1780;101.11;2014;0.19529837251356238;45.70976491862568
9012023;104;20303;SIERRA;ANCASH;ANTONIO RAYMONDI;CHACCHO;1753;529;1224;123.82;2014;0.3017683970336566;70.63320022818026
9012023;105;20304;SIERRA;ANCASH;ANTONIO RAYMONDI;CHINGAS;1962;690;1272;161.56;2014;0.3516819571865443;82.34454638124363
9012023;106;20305;SIERRA;ANCASH;ANTONIO RAYMONDI;MIRGAS;5348;668;4680;156.52;2014;0.12490650710545999;29.267015706806284
9012023;107;20306;SIERRA;ANCASH;ANTONIO RAYMONDI;SAN JUAN DE RONTOY;1645;227;1418;53.12;2014;0.13799392097264437;32.29179331306991
9012023;108;20401;SIERRA;ANCASH;ASUNCIÓN;CHACAS;5568;2173;3395;509.16;2014;0.39026580459770116;91.44396551724138
9012023;109;20402;SIERRA;ANCASH;ASUNCIÓN;ACOCHACA;3301;195;3106;45.74;2014;0.059073008179339595;13.856407149348682
9012023;110;20501;SIERRA;ANCASH;BOLOGNESI;CHIQUIAN;3723;3387;336;793.45;2014;0.9097502014504432;213.1211388665055
